Zone,Woreda,PHCU,Facility Name,Facility Type,OBJECTID_1,CSA HF Type,X,Y
Central Gondar ZHD,East Belesa WorHO,Hamusit PHCU,Michewa Health Post,Health Posts,"13,687",3,408830.9012,1390924.834
Central Gondar ZHD,East Belesa WorHO,Hamusit PHCU,Shamishe  Health Post,Health Posts,"13,699",3,405900.1762,1383123.869
South Gondar ZHD,Dera WorHO,Hamusit PHCU,Zara Health Post,Health Posts,"11,589",3,346957.1762,1306568.833
Central Gondar ZHD,East Belesa WorHO,Hamusit PHCU,Aderarua Health Post,Health Posts,"13,686",3,406238.0701,1398194.258
North Wollo ZHD,Mekete WorHO,Hana mequat PHCU,Enat guya Health Post,Health Posts,"13,143",3,465999.6314,1290474.748
North Wollo ZHD,Mekete WorHO,Hana mequat PHCU,Zibie Health Post,Health Posts,"13,164",3,466509.4056,1296244.054
North Wollo ZHD,Mekete WorHO,Hana mequat PHCU,Hana mekuat Health Center,Health Centers,"13,150",2,467950.607,1293937.08
North Wollo ZHD,Mekete WorHO,Hana mequat PHCU,Kola Asasa Health Post,Health Posts,"13,152",3,463992.6422,1289400.487
North Wollo ZHD,Mekete WorHO,Hana mequat PHCU,hana mekuat Health Post,Health Posts,"13,151",7,468109.1304,1293586.984
North Wollo ZHD,Mekete WorHO,Hana mequat PHCU,Amesa Health Post,Health Posts,"13,148",3,472069.6739,1287702.107
North Wollo ZHD,Guba Lafto WorHO,Hara PHCU,Hara Health Center,Health Centers,"12,555",2,582633.5638,1246634.504
North Wollo ZHD,Guba Lafto WorHO,Hara PHCU,Lastie Gerado Health Post,Health Posts,"12,947",3,576157.082,1311109.354
North Wollo ZHD,Guba Lafto WorHO,Hara PHCU,Hara 01 Health Post,Health Posts,"32,272",2,581117.1412,1308611.853
South Wollo ZHD,Tehulederie WorHO,Hara PHCU,Hara Health Post,Health Posts,"12,691",3,584580.5029,1247656.877
North Wollo ZHD,Guba Lafto WorHO,Hara PHCU,Hara 02 Health Post,Health Posts,"32,273",3,581130.8406,1308706.54
North Wollo ZHD,Guba Lafto WorHO,Hara PHCU,Sibil kay Health Post,Health Posts,"12,946",3,581844.2047,1304610.001
North Wollo ZHD,Guba Lafto WorHO,Hara PHCU,Gubarija Health Post,Health Posts,"12,965",3,568768.3483,1305474.916
South Wollo ZHD,Tehulederie WorHO,Hara PHCU,Gedera Health Post,Health Posts,"11,908",3,592083.1803,1249157.158
North Shewa ZHD,Ankober WorHO,Haramba PHCU,ZEMBO Health Post,Health Posts,"8,694",3,588664.5041,1074502.323
North Shewa ZHD,Ankober WorHO,Haramba PHCU,Haramba Health Post,Health Posts,"8,697",3,591072.9843,1071212.249
North Shewa ZHD,Ankober WorHO,Haramba PHCU,Haramba Health Center,Health Centers,"8,696",2,591347.2665,1071585.885
South Wollo ZHD,Dessie Zuriya WorHO,Harawbelo PHCU,Kelina Health Post,Health Posts,"11,825",3,570715.8836,1222301.149
South Wollo ZHD,Dessie Zuriya WorHO,Harawbelo PHCU,Ilu Health Post,Health Posts,"11,823",3,585884.0976,1230272.006
South Wollo ZHD,Dessie Zuriya WorHO,Harawbelo PHCU,Harawbelo Health Center,Health Centers,"11,828",2,569993.9462,1218929.492
South Wollo ZHD,Dessie Zuriya WorHO,Harawbelo PHCU,Atarimesk Health Post,Health Posts,"11,826",3,572727.0546,1219179.969
South Wollo ZHD,kallu WorHO,Harebu PHCU,Agamesa Health Post,Health Posts,"11,870",3,592817.9148,1205365.338
South Wollo ZHD,kallu WorHO,Harebu PHCU,Kedida Health Post,Health Posts,"11,880",3,582064.7459,1220375.593
South Wollo ZHD,kallu WorHO,Harebu PHCU,Harebu Health Center,Health Centers,"31,870",2,585431.3093,1207575.803
South Wollo ZHD,kallu WorHO,Harebu PHCU,Choresa Health Post,Health Posts,"11,878",3,583777.5626,1214715.017
Oromia Special ZHD,Dawa Harewa WorHO,Harewa PHCU,Buraksa Health Post,Health Posts,"12,822",3,606205.9875,1194603.427
Oromia Special ZHD,Dawa Harewa WorHO,Harewa PHCU,Harewa Health Center,Health Centers,"32,185",6,609550.3084,1193877.973
Oromia Special ZHD,Dawa Harewa WorHO,Harewa PHCU,Ajo Wecheka Health Post,Health Posts,"12,817",3,609618.4909,1190749.61
Oromia Special ZHD,Dawa Harewa WorHO,Harewa PHCU,Harewa Health Post,Health Posts,"32,189",3,609901.8144,1194255.72
Oromia Special ZHD,Dawa Harewa WorHO,Harewa PHCU,Tulu Bofa Health Post,Health Posts,"12,818",3,606609.0789,1198188.105
North Wollo ZHD,Habru WorHO,Haro PHCU,Kes Kebele Health Post,Health Posts,"13,132",6,514905.6911,1327457.689
North Wollo ZHD,Habru WorHO,Haro PHCU,Tilife Health Post,Health Posts,"13,025",3,588091.64,1308618.386
Oromia Special ZHD,Bati Woreda WorHO,Hato PHCU,Kebele  Health Post,Health Posts,"12,737",3,614442.2897,1229123.61
Oromia Special ZHD,Bati Woreda WorHO,Hato PHCU,Chekorti Health Post,Health Posts,"12,773",3,618581.9156,1231821.925
Oromia Special ZHD,Bati Woreda WorHO,Hato PHCU,Fura Health Post,Health Posts,"12,740",3,615658.8605,1234920.703
South Gondar ZHD,Debretabor Town WorHO,Hidar 11 Health Center,Hidar 11 Health Center,Health Centers,"31,728",2,393473.168,1310217.158
East Gojjam ZHD,Debre Markos WorHO,Hidase PHCU,Hidase Health Center,Health Centers,"31,304",2,360665.3051,1144397.565
Awi ZHD,Injibara Town,Injibara PHCU,Injibara 03 Health Post,Health Posts,"30,466",3,272590.7535,1216610.96
East Gojjam ZHD,Aneded WorHO,Jamma PHCU,Malgash Health Post,Health Posts,"10,412",3,381480.9989,1108937.824
East Gojjam ZHD,Aneded WorHO,Jamma PHCU,Adisge ygora Health Post,Health Posts,"10,410",3,374346.0433,1123040.064
East Gojjam ZHD,Aneded WorHO,Jamma PHCU,Tikur Adiber Health Post,Health Posts,"10,414",3,380405.0005,1116937.931
East Gojjam ZHD,Aneded WorHO,Jamma PHCU,Talak Amba Health Post,Health Posts,"10,409",3,379166.7493,1112723.845
North Gondar ZHD,Beyeda WorHO,Janbelew PHCU,Tach Ambie Health Post,Health Posts,"14,087",3,424189.3257,1447586.449
North Gondar ZHD,Beyeda WorHO,Janbelew PHCU,Wana Mariyam Health Ost Health Post,Health Posts,"14,083",3,427542.9038,1437757.017
North Gondar ZHD,Beyeda WorHO,Janbelew PHCU,Beya Health Post,Health Posts,"14,078",3,428906.1697,1444909.543
North Gondar ZHD,Beyeda WorHO,Janbelew PHCU,Janbelew Health Post,Health Posts,"14,080",2,431031.2604,1448098.18
Central Gondar ZHD,West Belesa WorHO,Jandab  PHCU,Lavamariam Health Post,Health Posts,"13,599",3,383178.4536,1385714.679
Central Gondar ZHD,West Belesa WorHO,Jandab  PHCU,Girarege Health Post,Health Posts,"13,640",2,323999.8413,1379661.635
Central Gondar ZHD,West Belesa WorHO,Jandab  PHCU,Jandab Health Center,Health Centers,"13,601",2,377873.2797,1389770.158
Central Gondar ZHD,West Belesa WorHO,Jandab  PHCU,Jandab Health Post,Health Posts,"13,600",3,377811.9571,1389745.158
Central Gondar ZHD,Lay Armacho WorHO,Janikaw PHCU,Alegna Muna Health Post,Health Posts,"13,893",3,258830.4314,1409461.559
Central Gondar ZHD,Wogera WorHO,Jankel PHCU,Jankel Health Center,Health Centers,"13,861",2,342891.6484,1420074.608
North Gondar ZHD,Dabat WorHO,Janora PHCU,Janora Health Center,Health Centers,"14,126",2,348957.7034,1438673.117
North Gondar ZHD,Dabat WorHO,Janora PHCU,Kenta Health Post,Health Posts,"14,121",3,349262.8048,1447840.672
North Gondar ZHD,Dabat WorHO,Janora PHCU,Sebentera Health Post,Health Posts,"14,127",3,347852.2673,1437765.736
North Gondar ZHD,Dabat WorHO,Janora PHCU,Gurnamba Health Post,Health Posts,"14,128",3,352982.7277,1440989.826
North Gondar ZHD,Dabat WorHO,Janora PHCU,Bentero Health Post,Health Posts,"14,130",3,344064.8256,1444566.289
Central Gondar ZHD,Central Armacho WorHO,Jansuma PHCU,Jansuma Health Center,Health Centers,"13,714",2,266658.1717,1431840.779
South Gondar ZHD,Andabet,Jaragedo PHCU,Jaragedo Health Center,Health Centers,"31,696",2,378363.3057,1260774.478
Oromia Special ZHD,Dawa Chefa WorHO,Jaraniyo PHCU,Erensa Health Post,Health Posts,"12,795",3,601826.7964,1188635.373
Oromia Special ZHD,Dawa Chefa WorHO,Jaraniyo PHCU,Jaraniyo Health Post,Health Posts,"12,801",3,599469.4567,1187443.891
Oromia Special ZHD,Dawa Chefa WorHO,Jaraniyo PHCU,Jaraniyo Health Center,Health Centers,"12,800",2,599480.6709,1187488.924
Oromia Special ZHD,Dawa Chefa WorHO,Jaraniyo PHCU,Bilacha Health Post,Health Posts,"12,790",3,594274.5163,1190347.415
Awi ZHD,Jawi,Jawi PHCU,Jawi health center,Health Centers,"30,620",2,226462.3093,1280165.7
Awi ZHD,Jawi,Jawi PHCU,Jayimala Health Post,Health Posts,"9,482",3,242431.9166,1293931.754
Awi ZHD,Jawi,Jawi PHCU,Addiss Woyn Health Post,Health Posts,"30,619",3,225775.3846,1280266.585
North Wollo ZHD,Raya Kobo WorHO,Jemedo PHCU,Jemedo Health Center,Health Centers,"13,072",2,544610.2813,1356334.65
North Wollo ZHD,Raya Kobo WorHO,Jemedo PHCU,Jemedo Health Post,Health Posts,"13,073",3,544957.7574,1356332.047
North Wollo ZHD,Raya Kobo WorHO,Jemedo PHCU,Mehago Health Post,Health Posts,"13,068",3,543274.927,1360279.204
North Wollo ZHD,Raya Kobo WorHO,Jemedo PHCU,Koba Health Post,Health Posts,"13,069",3,555114.5893,1357593.911
East Gojjam ZHD,Debay Tilatgin WorHO,Jerems PHCU,Emewulad Health Post,Health Posts,"10,888",3,400918.2337,1161367.085
East Gojjam ZHD,Debay Tilatgin WorHO,Jerems PHCU,Jerems Health Center,Health Centers,"10,889",2,399711.8968,1156481.947
East Gojjam ZHD,Debay Tilatgin WorHO,Jerems PHCU,Jerems Health Post,Health Posts,"10,890",3,399713.5208,1156485.15
East Gojjam ZHD,Debay Tilatgin WorHO,Jerems PHCU,Kulkualarajo Health Post,Health Posts,"10,904",3,402698.5818,1152106.321
North Wollo ZHD,Guba Lafto WorHO,Jersa PHCU,Jersa Health Post,Health Posts,"12,960",3,557723.944,1308679.006
North Wollo ZHD,Guba Lafto WorHO,Jersa PHCU,Jersa Health Center,Health Centers,"12,962",2,557599.9716,1308591.999
North Wollo ZHD,Guba Lafto WorHO,Jersa PHCU,Gedober Health Post,Health Posts,"12,959",2,558992.1844,1311751.338
North Shewa ZHD,Efratana Gidim WorHO,Jewuha PHCU,Arsoamba Health Post,Health Posts,"8,826",3,598221.3031,1125378.545
North Shewa ZHD,Efratana Gidim WorHO,Jewuha PHCU,Jewuha Health Center,Health Centers,"30,275",2,606859.1383,1116948.763
North Shewa ZHD,Efratana Gidim WorHO,Jewuha PHCU,Zembo Health Post,Health Posts,"8,694",3,588664.5041,1074502.323
South Gondar ZHD,Estie WorHO,Jibasra PHCU,Jibasra Health Center,Health Centers,"31,713",2,384938.9876,1282885.134
South Gondar ZHD,Estie WorHO,Jibasra PHCU,Jibasera Health Post,Health Posts,"31,712",3,385164.3305,1282495.799
West Gojjam ZHD,Jabi Tehnan WorHO,Jiga PHCU,Berkegn Health Post,Health Posts,"10,161",3,329740.5245,1180660.989
West Gojjam ZHD,Jabi Tehnan WorHO,Jiga PHCU,Jiga Health Center,Health Centers,"30,939",2,322149.5679,1180166.022
West Gojjam ZHD,Jabi Tehnan WorHO,Jiga PHCU,Yelmdar Health Post,Health Posts,"30,932",3,321173.1488,1181176.936
West Gojjam ZHD,Jabi Tehnan WorHO,Jiga PHCU,Mender Health Post,Health Posts,"10,132",3,319531.6571,1189237.888
West Gojjam ZHD,Jabi Tehnan WorHO,Jiga PHCU,Mircha Health Post,Health Posts,"10,122",3,323439.1622,1185749.691
North Shewa ZHD,Moretna Jiru WorHO,Jihur PHCU,Arese Health Post,Health Posts,"9,217",3,524979.1985,1112408.791
North Shewa ZHD,Moretna Jiru WorHO,Jihur PHCU,Jihur Health Center,Health Centers,"30,390",2,526835.4839,1107211.641
North Shewa ZHD,Moretna Jiru WorHO,Jihur PHCU,Weyera Amba Health Post,Health Posts,"9,208",3,523760.4224,1099798.273
Central Gondar ZHD,Tach Armacho WorHO,Jingir PHCU,Jingir Health Post,Health Posts,"13,736",3,328916.3088,1441222.765
Central Gondar ZHD,Tach Armacho WorHO,Jingir PHCU,Lay Tara Health Post,Health Posts,"14,067",3,366332.3631,1490763.785
Central Gondar ZHD,Tach Armacho WorHO,Jingir PHCU,Neguadit Health Post,Health Posts,"13,735",3,327138.6067,1443614.832
Central Gondar ZHD,Tach Armacho WorHO,Jingir PHCU,Jingir Health Center,Health Centers,"13,737",2,329074.5556,1441072.247
South Wollo ZHD,Wereilu WorHO,Kabe PHCU,Kabe Health Center,Health Centers,"31,964",2,551222.9165,1196717.386
South Wollo ZHD,Wereilu WorHO,Kabe PHCU,Aremfema Health Post,Health Posts,"12,631",3,555553.7179,1200551.124
Awi ZHD,Dangla Zuria,Kachana Gudi PHCU,Alefa Kacha Health Post,Health Posts,"9,646",3,245326.1701,1230813.256
Central Gondar ZHD,East Belesa WorHO,Kalay Sholit PHCU,Deber Zana Health Post,Health Posts,"13,860",3,345849.865,1403291.838
Central Gondar ZHD,East Belesa WorHO,Kalay Sholit PHCU,Chama Korach Health Post,Health Posts,"13,666",3,388847.3373,1371221.515
Central Gondar ZHD,East Belesa WorHO,Kalay Sholit PHCU,Kalay Sholit Health Center,Health Centers,"13,670",2,391807.7631,1365117.35
North Wollo ZHD,Raya Kobo WorHO,kalim PHCU,kalim Health Center,Health Centers,"13,093",2,558831.7552,1317223.255
North Wollo ZHD,Raya Kobo WorHO,kalim PHCU,Mito Health Post,Health Posts,"13,092",3,560584.8053,1316164.1
North Wollo ZHD,Raya Kobo WorHO,kalim PHCU,Asimela Health Post,Health Posts,"13,096",3,561648.5335,1320464.805
North Wollo ZHD,Raya Kobo WorHO,kalim PHCU,Ayida Health Post,Health Posts,"13,089",3,558322.1116,1319566.028
North Wollo ZHD,Raya Kobo WorHO,kalim PHCU,kalim Health Post,Health Posts,"13,091",3,558468.6111,1317488.108
North Shewa ZHD,Efratana Gidim WorHO,Karakoria PHCU,Koriemeda Health Post,Health Posts,"8,832",3,602392.2715,1154238.806
North Shewa ZHD,Efratana Gidim WorHO,Karakoria PHCU,Karakoria Health Center,Health Centers,"30,280",2,602288.5538,1152603.329
West Gojjam ZHD,Debub Achefer WorHO,Kat PHCU,Kat Health Post,Health Posts,"9,686",3,265280.087,1259441.689
West Gojjam ZHD,Debub Achefer WorHO,Kat PHCU,Kat Health Center,Health Centers,"9,687",2,265292.6898,1259448.051
West Gojjam ZHD,Sekela WorHO,Kebesa PHCU,Gualsa Health Post,Health Posts,"9,772",3,294571.9643,1220100.555
West Gojjam ZHD,Sekela WorHO,Kebesa PHCU,Surba Health Post,Health Posts,"9,773",3,292591.6091,1225988.69
West Gojjam ZHD,Sekela WorHO,Kebesa PHCU,Kebesa Health Center,Health Centers,"9,788",2,298780.4995,1222624.748
Awi ZHD,Jawi,Kebtele PHCU,Kebtele health center,Health Centers,"9,481",2,224626.5196,1324195.705
Awi ZHD,Jawi,Kebtele PHCU,Kebtele Health Post,Health Posts,"9,480",3,224299.1094,1323884.23
Awi ZHD,Jawi,Kebtele PHCU,Filfil Health Post,Health Posts,"9,444",6,218455.3119,1310378.418
Awi ZHD,Jawi,Kebtele PHCU,Zenzen Health Post,Health Posts,"9,489",3,221596.3098,1318083.963
South Wollo ZHD,Kelela WorHO,Kelela PHCU,Yimeri Health Post,Health Posts,"31,833",4,598511.9237,1232323.414
South Wollo ZHD,Kelela WorHO,Kelela PHCU,Keyamarie Health Post,Health Posts,"12,628",3,540699.8383,1174368.02
South Wollo ZHD,Kelela WorHO,Kelela PHCU,Endode Health Post,Health Posts,"11,881",2,590142.7076,1222984.826
South Wollo ZHD,Kelela WorHO,Kelela PHCU,Kelela Health Center,Health Centers,"31,892",2,500252.1597,1170143
South Wollo ZHD,Kelela WorHO,Kelela PHCU,Aleltu Health Post,Health Posts,"12,655",3,465078.6368,1166953.696
Oromia Special ZHD,Kemissie Town WorHO,Kemise PHCU,Kemise  Health Center,Health Centers,"32,218",2,594262.6706,1185075.367
Oromia Special ZHD,Kemissie Town WorHO,Kemise PHCU,Kachur Health Post,Health Posts,"12,823",3,592780.4828,1184519.844
North Shewa ZHD,Mida Woremo WorHO,Keramejit PHCU,Alabo biraba Health Post,Health Posts,"9,113",3,484378.6522,1126221.224
North Shewa ZHD,Mida Woremo WorHO,Keramejit PHCU,Keramejit Health Center,Health Centers,"9,114",2,486716.0624,1128995.407
East Gojjam ZHD,Hulet Eju Nese WorHO,Keraniyo PHCU,Keraniyo Health Center,Health Centers,"31,206",2,387126.9403,1212337.706
East Gojjam ZHD,Hulet Eju Nese WorHO,Keraniyo PHCU,Buha Health post,Health Posts,"11,000",3,388051.4114,1206343.104
East Gojjam ZHD,Sedie WorHO,Kernewary PHCU,Agerehiwot Health post,Health Posts,"11,010",6,368063.6997,1206518.101
East Gojjam ZHD,Sedie WorHO,Kernewary PHCU,Zelalem Desta Health post,Health Posts,"11,026",3,373351.5886,1192078.946
East Gojjam ZHD,Sedie WorHO,Kernewary PHCU,Kernewary Health center,Health Centers,"31,542",2,369627.3444,1203157.519
Awi ZHD,Banja,Kessa PHCU,Wusla Health Post,Health Posts,"9,344",3,280996.4116,1207425.031
Awi ZHD,Banja,Kessa PHCU,Kessa Health Center,Health Centers,"30,531",2,278563.4858,1204973.475
Awi ZHD,Banja,Kessa PHCU,Akayta Health Post,Health Posts,"9,326",3,276643.2467,1211739.657
Awi ZHD,Banja,Kessa PHCU,Chewsa Health Post,Health Posts,"9,329",3,277101.2977,1207144.807
North Shewa ZHD,Moretna Jiru WorHO,Keteb PHCU,Keteb Health Center,Health Centers,"9,214",2,510574.3884,1099536.668
North Shewa ZHD,Moretna Jiru WorHO,Keteb PHCU,Lamwasha Health Post,Health Posts,"9,213",3,512668.9747,1100021.385
North Shewa ZHD,Moretna Jiru WorHO,Keteb PHCU,Yimmedeb Health Post,Health Posts,"9,212",3,509083.5247,1097728.162
South Wollo ZHD,kallu WorHO,keteteya PHCU,Adame Health Post,Health Posts,"11,904",3,591129.3829,1242330.618
South Wollo ZHD,kallu WorHO,keteteya PHCU,Keteteya Health Center,Health Centers,"11,905",2,591189.003,1242183.957
South Wollo ZHD,kallu WorHO,keteteya PHCU,Mudi Kalu Health Post,Health Posts,"11,907",3,592300.2778,1246033.248
South Wollo ZHD,kallu WorHO,keteteya PHCU,Arjo Health Post,Health Posts,"11,893",3,594094.7759,1237790.85
South Wollo ZHD,Jama WorHO,Keyafer PHCU,Keyafer Health Center,Health Centers,"31,888",2,538901.5724,1146933.716
South Wollo ZHD,Jama WorHO,Keyafer PHCU,Tulu Mojo Health Post,Health Posts,"11,848",3,539821.8737,1159929.143
South Wollo ZHD,Jama WorHO,Keyafer PHCU,Micha Health Post,Health Posts,"11,859",3,539333.5592,1150056.751
South Wollo ZHD,Jama WorHO,Keyafer PHCU,Leshete Health Post,Health Posts,"11,852",3,533755.039,1142341.494
South Wollo ZHD,Jama WorHO,Keyafer PHCU,Elshama Health Post,Health Posts,"11,856",3,531277.3094,1145695.538
South Wollo ZHD,Jama WorHO,Keyafer PHCU,Gende Mitad Health Post,Health Posts,"11,864",3,538056.1117,1144904.411
North Shewa ZHD,Basona Werana WorHO,Keyit PHCU,Mehalamba Health Post,Health Posts,"8,759",3,566770.2649,1082763.055
North Shewa ZHD,Basona Werana WorHO,Keyit PHCU,Gudoberet ketema Health Post,Health Posts,"30,050",3,574666.2974,1083410.211
North Shewa ZHD,Basona Werana WorHO,Keyit PHCU,Abamote Health Post,Health Posts,"8,750",3,572661.6382,1079156.115
North Shewa ZHD,Basona Werana WorHO,Keyit PHCU,Chiraro Debir Health Post,Health Posts,"8,748",3,566070.3427,1077560.207
North Shewa ZHD,Basona Werana WorHO,Keyit PHCU,Bakelo Health Post,Health Posts,"8,752",3,569427.8874,1072063.639
North Shewa ZHD,Basona Werana WorHO,Keyit PHCU,Keyit Health Center,Health Centers,"8,753",2,571552.8143,1075525.271
North Shewa ZHD,Basona Werana WorHO,Keyit PHCU,Basodengora Health Post,,"8,756",3,575343.8008,1088274.238
Awi ZHD,Banja,Kidamaja PHCU,Askuna Health Post,Health Posts,"9,564",3,286351.6154,1200214.129
South Gondar ZHD,Fogera,Kidestehana PHCU,Wagetera Health Post,Health Posts,"11,378",3,342815.546,1316309.89
South Gondar ZHD,Fogera,Kidestehana PHCU,Nabega Health Post,Health Posts,"11,351",6,348155.4045,1325094.566
South Gondar ZHD,Fogera,Kidestehana PHCU,Kidestehana Health Center,Health Centers,"11,382",2,346011.001,1315654.528
South Gondar ZHD,Fogera,Kidestehana PHCU,Kidestehana Health Post,Health Posts,"11,384",3,346326.7771,1315333.665
East Gojjam ZHD,Enemay WorHO,Kidisge PHCU,Sekela Health Post,Health Posts,"10,630",3,413740.0162,1160931.346
East Gojjam ZHD,Enemay WorHO,Kidisge PHCU,Kidisge Health Post,Health Posts,"10,625",3,421052.7934,1160466.294
East Gojjam ZHD,Enemay WorHO,Kidisge PHCU,Kidisge Health Center,Health Centers,"10,627",2,421004.0028,1160414.119
North Wollo ZHD,Bugina WorHO,Kidus Harbie PHCU,Kidus Harbie Health Center,Health Centers,"12,833",6,479455.0074,1336896.394
North Wollo ZHD,Bugina WorHO,Kidus Harbie PHCU,Debre Roha Health Post,Health Posts,"12,832",3,477455.4975,1336291.088
North Wollo ZHD,Bugina WorHO,Kidus Harbie PHCU,Kidus Harbie Health Post,Health Posts,"12,834",2,479338.5145,1337011.564
Gondar Town Woreda WorHO,Azezo PHCU,Kilil Eyesus Health Post,Kilil Eyesus Health Post,Health Posts,"25,290",3,325721.9262,1390239.493
North Wollo ZHD,Habru WorHO,Kilito PHCU,Kilito Health Center,,"13,020",2,585719.3324,1281529.673
South Gondar ZHD,Guna begemider WorHO,Kimirdengay  PHCU,kirarem health post,Health Posts,"11,389",3,403303.8047,1312927.675
South Gondar ZHD,Guna begemider WorHO,Kimirdengay  PHCU,Atta Health Post,Health Posts,"11,302",3,407444.7912,1305022.686
South Gondar ZHD,Guna begemider WorHO,Kimirdengay  PHCU,Wukiro Health Post,Health Posts,"13,803",3,329266.9203,1475055.607
South Gondar ZHD,Guna begemider WorHO,Kimirdengay  PHCU,Moqishe Health Post,Health Posts,"11,300",6,411467.7086,1298597.59
South Gondar ZHD,Guna begemider WorHO,Kimirdengay  PHCU,Tadomender Health Post,Health Posts,"11,291",3,409498.3264,1308261.831
South Gondar ZHD,Guna begemider WorHO,Kimirdengay  PHCU,Denquara Health Post,Health Posts,"11,293",6,418027.471,1307808.991
South Gondar ZHD,Guna begemider WorHO,Kimirdengay  PHCU,Workmemasha Health Post,Health Posts,"11,299",3,412987.1401,1295390.184
North Shewa ZHD,Menz Keya Gebreal WorHO,Kimirdigay PHCU,Kach Health Post,Health Posts,"9,030",3,536785.9629,1109934.922
North Shewa ZHD,Menz Keya Gebreal WorHO,Kimirdigay PHCU,Kimir Dingay Health Post,Health Posts,"8,962",3,607165.4073,1091273.406
North Shewa ZHD,Menz Keya Gebreal WorHO,Kimirdigay PHCU,Kimirdigay Health Center,Health Centers,"9,032",2,539175.8501,1115422.859
West Gojjam ZHD,Bahir Dar Zuria WorHO,Kinbaba PHCU,Wondata Health Post,Health Posts,"10,027",3,324602.2223,1269223.693
West Gojjam ZHD,Bahir Dar Zuria WorHO,Kinbaba PHCU,Kinbaba Health Center,Health Centers,"10,015",2,325845.8411,1261781.925
South Gondar ZHD,Fogera,Kinti PHCU,Kinti Health Center,Health Centers,"11,316",2,375479.4416,1305631.204
Central Gondar ZHD,Tegede WorHO,Kirakir PHCU,Gebreal Health Post,Health Posts,"13,801",3,326743.7871,1471775.744
Central Gondar ZHD,Tegede WorHO,Kirakir PHCU,Shene Health Post,Health Posts,"13,817",3,333563.3714,1466604.538
Central Gondar ZHD,Tegede WorHO,Kirakir PHCU,Zegba Health Post,Health Posts,"13,818",3,334621.1346,1476313.125
Central Gondar ZHD,Tegede WorHO,Kirakir PHCU,Kirakir Health Center,Health Centers,"32,647",2,325148.7876,1476157.158
North Shewa ZHD,Minjarina Shenkora WorHO,Kirstos Semra PHCU,Rarati Health Post,Health Posts,"9,165",3,536945.8966,994813.4664
North Shewa ZHD,Minjarina Shenkora WorHO,Kirstos Semra PHCU,Kirstos Semra Health Center,Health Centers,"9,169",2,539192.6954,991145.5375
North Wollo ZHD,Bugina WorHO,Kob PHCU,Birkua Health Post,Health Posts,"12,841",7,465938.7409,1348115.299
North Wollo ZHD,Bugina WorHO,Kob PHCU,Kob Health Center,Health Centers,"12,838",2,462867.197,1350241.444
North Wollo ZHD,Bugina WorHO,Kob PHCU,Felfelik Health Post,Health Posts,"11,779",3,526855.6402,1279505.856
North Wollo ZHD,Bugina WorHO,Kob PHCU,Zeblo Health Post,Health Posts,"12,842",3,450235.3149,1346061.229
North Wollo ZHD,Bugina WorHO,Kob PHCU,Kob Health Post,Health Posts,"12,839",6,463048.5557,1350294.116
North Wollo ZHD,Kobo Town WorHO,Kobo PHCU,Kobo Health Center,Health Centers,"32,345",2,568626.8909,1342830.622
West Gojjam ZHD,Wenberma WorHO,Koki PHCU,Koki Health Post,Health Posts,"10,302",3,266105.9047,1172721.254
West Gojjam ZHD,Wenberma WorHO,Koki PHCU,Koki Health Center,Health Centers,"10,301",2,266077.09,1172920.998
West Gojjam ZHD,Wenberma WorHO,Koki PHCU,Waze Health Post,Health Posts,"10,300",3,266821.409,1176281.607
West Gojjam ZHD,Wenberma WorHO,Koki PHCU,Jambi Health Post,Health Posts,"10,297",3,260991.8355,1167843.582
West Gondar ZHD,Metema WorHO,kokit PHCU,Kumer Aftit health post,Health Posts,"13,975",3,213543.5703,1416531.868
West Gondar ZHD,Metema WorHO,kokit PHCU,kokit health center,Health Centers,"32,847",2,203090.3979,1423893.384
West Gondar ZHD,Metema WorHO,kokit PHCU,Shemelegra health post,Health Posts,"13,985",3,202196.5067,1449388.963
West Gondar ZHD,Metema WorHO,kokit PHCU,Mender 6_7_8 health post,Health Posts,"13,972",3,201865.2957,1434212.25
West Gondar ZHD,Metema WorHO,kokit PHCU,Kokit health post,Health Posts,"32,846",6,202953.8563,1424532.555
West Gondar ZHD,Metema WorHO,kokit PHCU,Das health post,Health Posts,"13,977",3,200936.8736,1412343.035
Central Gondar ZHD,East Dembia WorHO,Koladeba PHCU,Atakilt Health Post,Health Posts,"13,645",3,316833.3023,1376599.147
Central Gondar ZHD,East Dembia WorHO,Koladeba PHCU,Koladeba Health Center,Health Centers,"32,575",2,317775.4291,1373985.155
South Wollo ZHD,Kutaber WorHO,Kolagerado PHCU,Mume Health Post,Health Posts,"12,345",3,542460.8085,1235386.453
South Wollo ZHD,Kutaber WorHO,Kolagerado PHCU,Sigon Health Post,Health Posts,"31,958",2,546491.3262,1185151.9
North Shewa ZHD,Merhabete WorHO,Kolash PHCU,Kara wonchit Health Post,Health Posts,"9,097",3,514481.8285,1115434.985
North Shewa ZHD,Merhabete WorHO,Kolash PHCU,Kara tamo Health Post,Health Posts,"9,095",3,513998.1321,1113421.222
North Shewa ZHD,Merhabete WorHO,Kolash PHCU,Jemma Nunta Health Post,Health Posts,"9,100",3,514341.9367,1119109.598
North Shewa ZHD,Menz Mama Midir WorHO,Kollo Margefia PHCU,Shesho Health Post,Health Posts,"9,055",3,550229.4869,1107428.431
