ZHD,Woreda/ZHD/RHB,periodname,Denom - Estimated number of 0-2 months with sepsis/VSD,Denom - Estimated number of 12 - 24 months children,Denom - Estimated number of <15 year children 1,Denom - Estimated number of <5 year children,Denom - Estimated number of HIV positive pregnant women,Denom - Estimated number of Leprosy cases,Denom - Estimated number of Non-pregnant women aged 15-49 year,Denom - Estimated number of STI cases,Denom - Estimated number of adult population living with HIV ,Denom - Estimated number of adults  in the catchment area,Denom - Estimated number of adults age 15-24 within the catchment area,Denom - Estimated number of adults age 15-59 within the catchment area,Denom - Estimated number of all forms of TB cases in the population,Denom - Estimated number of child population living with HIV ,Denom - Estimated number of children  aged 24 - 59 months ,Denom - Estimated number of children aged 6-59 months,Denom - Estimated number of diabetic cases,Denom - Estimated number of girls (14 years old),Denom - Estimated number of girls (9 years old),Denom - Estimated number of hypertensive cases,Denom - Estimated number of live birth,Denom - Estimated number of neonates with birth asphyxia case,Denom - Estimated number of networked in 1 to 5 ,Denom - Estimated number of patients with CVD risk  ≥ 30%,Denom - Estimated number of people living with HIV ,Denom - Estimated number of people tested for HCT,Denom - Estimated number of pregnant women,Denom - Estimated number of surviving infants,Denom - Estimated number of under 2 yrs children,Denom - Estimated number of under 5 children with diarrhea cases,Denom - Estimated number of under 5 children with pneumonia,Denom - Estimated number of women age 30-49 within the catchment area,Denom - Expected number of deliveries,Denom - Total catchment population - female,Denom - Total catchment population - male,Denom - Total number of HHs in the catchment,Denom - Total number of Oncocerciasis MDA eligible population ,Denom - Total number of Rural HHs,Denom - Total number of Schistosomiasis MDA eligible population,Denom - Total number of Urban HHs,Denom - Total number of Urban kebele,Denom - Total number of catchment population,Denom - Total number of kebele,Denom - Total number of lymphatic filariasis MDA eligible population ,Denom - Total number of rural kebele,Denom - Total number of trachoma MDA eligible population 
West Gojjam ZHD,Jabi Tehnan WorHO,Ham 2013 to Sen 2014,604.2,4576.8,100571.8,31952.7,58,7.5,47726.2,4529.6,1986.4,141349.3,52652.5,132392.9,330.3,135.6,20040.4,30386.2,4805.9,2901.8,,22050.5,7950.4,330.3,54075.3,,,,7950.4,7346.5,11913.9,31952.7,8627.2,25951,7950.4,120109.7,115808.3,54864.6,0,44059.8,68416.2,10804.8,3,235918,41,0,38,235918
West Gojjam ZHD,Jabi Tehnan WorHO,Ham 2014 to Sen 2015,612.9,4594.8,102029,32412.6,65.3,7.2,48412.9,4594.8,,144243,48118.7,129486.9,311.1,,20328.7,30823.5,144243,2943.5,16273.3,144243,8064.8,806.5,54075.3,,,,8064.8,7451.9,12085.3,32785.8,8852.2,26324.4,8064.8,120051.1,119261.5,55654.1,0,44693.8,715.7,10960.3,3,239312.6,41,0,38,2467.9
South Wollo ZHD,Jama WorHO,Ham 2010 to Sen 2011,385.3,2918.7,64137.3,20371.1,45.6,9,30436.2,2888.7,,86308,31134.3,77367.9,246.7,,12773.3,19378.1,,1850.5,,,4979.9,49.7,,,,,5070.2,4679,7597.8,20371.1,5500.2,17175.5,5070.2,76730,73721,34988.6,130079.9,29390.4,43630.8,5598.2,2.5,150451,29.9,129387.9,27.4,150451
South Wollo ZHD,Jama WorHO,Ham 2011 to Sen 2012,391,4685,65166,20702,46.4,9,30922,2935,,87684,31631,78602,251,,12984,19687,,1880,,,5151,50.5,,,,,5151,4753.6,7718,20702,5590,17450,5151,77954,74897,35547,132154.1,29390.4,44326.5,5598.2,2.5,152850,29.9,129387.9,27.4,152850
South Wollo ZHD,Jama WorHO,Ham 2012 to Sen 2013,388.5,2936.9,64676.4,20546.4,46,4.9,30689.1,2912.7,,,31393.1,78010.8,229.1,,12886.4,19539.1,4854.4,1872,,13923.9,5112.3,7.2,7055.9,,,,5112.3,4724,7660,20546.4,5547.5,29126.6,5112.3,,,35279.3,131160.6,29634.6,43993.2,5644.7,2.5,151700.8,29.9,131160.6,27.4,151700.8
South Wollo ZHD,Jama WorHO,Ham 2013 to Sen 2014,392.8,2975.2,65377.2,20771,37.7,4.9,31024.6,2944.5,1291.3,90517.6,28898.4,77926.3,214.7,90.1,13027.3,19752.7,3077.6,1886.3,,14120.7,5168.2,214.7,35279.3,,,,5168.2,4775.6,7744.7,20771,5608.2,16869.5,5168.2,76545.2,76814.3,35665,0,31598.5,44474.3,4066.5,2,153359.5,24,0,22,153359.5
South Wollo ZHD,Jama WorHO,Ham 2014 to Sen 2015,397.2,2977.4,66113.7,21003,42.3,4.7,31371,2977.4,,93467.9,31393.1,83906,201.6,,13172.8,19973.3,93467.9,1907.4,10544.9,93467.9,5225.9,522.6,35279.3,,,,5225.9,4828.8,7831.1,21244.8,5736.1,17057.9,5225.9,77791.7,77280.1,36063.2,0,31951.4,301.5,4111.9,2,155071.9,24,0,22,1039.5
North Gondar ZHD,Janamora WorHO,Ham 2010 to Sen 2011,526,3984.4,87553.5,27808.5,62.3,12.3,41548.4,3943.3,,123748,42501.3,105614.6,336.8,,17436.8,26452.9,,2526.2,,,6798.1,67.8,,,,,6921.3,6387.3,10371.7,27808.5,7508.3,23446.2,6921.3,110016,105701,47762.8,177571.5,40120.7,59560.2,7642,1.2,205380,46.1,176626.8,44.9,205380
North Gondar ZHD,Janamora WorHO,Ham 2011 to Sen 2012,534,6717,88958,28260,63.3,13,42211,4006,,119697,43179,107299,342,,17724,26875,,2566,,,7032,68.9,,,,,7032,6489.2,10536,28260,7630,23821,7032,111770,102241,48524,180403.1,40120.7,60510,7642,1.2,208655,46.1,176626.8,44.9,208655
North Gondar ZHD,Janamora WorHO,Ham 2012 to Sen 2013,525.3,3970.7,87442.8,27778.9,62.2,6.6,41491.8,3937.9,,,42443.6,105471,309.7,,17422.5,26416.9,6563.2,2531,,18825.2,6911.9,9.7,47697.7,,,,6911.9,6386.8,10356.4,27778.8,7500.3,39379.3,6911.9,,,47697.7,177329.7,40066.1,59479.1,7631.6,1.2,205100.3,46.1,177329.7,44.9,205100.3
North Gondar ZHD,Janamora WorHO,Ham 2013 to Sen 2014,529.7,4012,88160.4,28009.5,50.9,6.6,41836.4,3970.6,1741.3,120508.3,45699.2,109079.6,289.5,123.7,17567.2,26636.3,4097.3,2543.7,,18799.3,6969.3,289.5,47697.7,,,,6969.3,6439.9,10443.6,28009.5,7562.6,22748.4,6969.3,105513.2,101290.4,48093.9,0,45490.3,59973.1,2603.6,1,206803.6,37,0,36,206803.6
North Gondar ZHD,Janamora WorHO,Ham 2014 to Sen 2015,534.3,4005.7,88948.3,28257.1,57,6.3,42206.1,4005.7,,125750.2,42443.6,112885.9,271.2,,17722.5,26871.7,125750.2,2566.2,14186.9,125750.2,7030.9,703.1,47697.7,,,,7030.9,6496.5,10535.9,28582.5,7717.3,22949.4,7030.9,104659.8,103971.5,48518.9,0,45892.3,546.9,2626.6,1,208631.3,37,0,36,1886
Awi ZHD,Jawi,Ham 2010 to Sen 2011,368.1,2787.8,61260.6,19457.4,43.6,8.6,29071.1,2759.1,,82436,29737.9,73897.8,235.7,,12200.4,18508.9,,1767.5,,,4756.6,47.5,,,,,4842.8,4469.2,7257,19457.4,5253.5,16405.1,4842.8,73289,70414,33419.3,124245.6,28072.2,41673.9,5347.1,6.2,143703,6.2,123584.6,0,143703
Awi ZHD,Jawi,Ham 2011 to Sen 2012,374,4475,62243,19774,44.3,9,29535,2803,,83751,30212,75076,239,,12402,18804,,1796,,,4920,48.2,,,,,4920,4540.4,7372,19774,5339,16667,4920,74457,71537,33952,126226.4,28072.2,42338.3,5347.1,6.2,145994,6.2,123584.6,0,145994
Awi ZHD,Jawi,Ham 2012 to Sen 2013,374.9,2833.9,62407,19825.5,44.4,4.7,29612.2,2810.5,,,30291.5,75273.5,221,,12434.3,18853.5,4684.1,1806.3,,13435.3,4932.9,246.6,6808.3,,,,4932.9,4558.2,7391.2,19825.4,5352.9,13759.5,4932.9,,,34041.3,126558.2,28594.7,42449.6,5446.6,6.2,146377.8,6.2,126558.2,0,146377.8
Awi ZHD,Jawi,Ham 2013 to Sen 2014,379.7,2876.3,63205.1,20080.9,36.5,4.7,29993.9,2846.7,1248.4,85689.5,35055.3,82705.8,207.6,89.7,12594.5,19096.5,2913.4,1823.7,,13367.6,4996.5,207.6,34041.3,,,,4996.5,4617,7487.4,20080.9,5421.9,16309.1,4996.5,70759.9,77504.6,34480.1,42449.6,29020,42996.7,5460.1,3,148264.5,31,124542.2,28,148264.5
Awi ZHD,Jawi,Ham 2014 to Sen 2015,384.6,2883.4,64026.1,20339.8,41,4.5,30380.5,2883.4,,90516.6,30291.5,81256.7,195.2,,12756.9,19342.6,90516.6,1847.2,10211.9,90516.6,5060.9,506.1,34041.3,,,,5060.9,4676.3,7583.9,20574,5555,16519.3,5060.9,75335.5,74840,34924.5,278.7,29394,282.3,5530.5,3,150175.5,31,817.6,28,973.3
Oromia Special ZHD,Jile Timuga WorHO,Ham 2010 to Sen 2011,233.4,1767.6,38842.3,12337,27.6,5.5,18432.6,1749.4,,52269,18855.3,46855,149.4,,7735.7,11735.6,,1120.7,,,3015.9,30.1,,,,,3070.6,2833.7,4601.3,12337,3331,10401.7,3070.6,46469,44646,21189.5,78778,17799.2,26423.4,3390.3,5,91115,29.9,78358.9,24.9,91115
Oromia Special ZHD,Jile Timuga WorHO,Ham 2011 to Sen 2012,237,2837,39465,12537,28.1,6,18726,1777,,53102,19156,47602,152,,7863,11923,,1139,,,3120,30.6,,,,,3120,2878.9,4674,12537,3385,10568,3120,47210,45358,21527,80034.3,17799.2,26844.7,3390.3,5,92568,29.9,78358.9,24.9,92568
Oromia Special ZHD,Jile Timuga WorHO,Ham 2012 to Sen 2013,243.3,1838.7,40492.1,12863.5,28.8,3,19213.6,1823.5,,,19654.3,48840.4,143.4,,8067.8,12232.9,3039.2,1172,,8717.4,3200.7,4.5,22087.4,,,,3200.7,2957.5,4795.7,12863.5,3473.1,18235.3,3200.7,,,22087.4,82115.9,18553.4,27542.9,3534,5,94975.6,29.9,82115.9,24.9,94975.6
Oromia Special ZHD,Jile Timuga WorHO,Ham 2013 to Sen 2014,245.8,1861.7,40909.3,12997.3,23.6,3.1,19413.5,1842.5,808,51817.4,18196.4,47128.3,134.3,63.3,8151.8,12360.1,1761.8,1180.4,,8083.5,3234,134.3,22087.4,,,,3234,2988.3,4846.2,12997.3,3509.3,10556,3234,50187.1,45776.6,22317.1,0,20041.7,27829.5,2275.4,4,95963.7,24,0,20,95963.7
Oromia Special ZHD,Jile Timuga WorHO,Ham 2014 to Sen 2015,248.4,1862.2,41351,13136.4,26.5,2.9,19621.1,1862.2,,58459.8,19654.3,52479.3,126.1,,8239,12492.3,58459.8,1193,6595.3,58459.8,3268.6,326.9,22087.4,,,,3268.6,3020.2,4898,13287.7,3587.7,10668.9,3268.6,48655.1,48335.1,22555.9,0,20256.1,118,2299.8,4,96990.2,24,0,20,406.9
South Wollo ZHD,kallu WorHO,Ham 2010 to Sen 2011,593.9,4498.2,98844.9,31394.8,70.3,13.9,46906.7,4451.8,,133013,47982.6,119235.3,380.3,,19685.5,29864.5,,2852,,,7674.8,76.6,,,,,7813.9,7211.1,11709.3,31394.8,8476.6,26469.9,7813.9,118252,113615,53922.6,200472.2,45294.9,67241.4,8627.6,6.2,231867,49.9,199405.6,43.6,231867
South Wollo ZHD,kallu WorHO,Ham 2011 to Sen 2012,603,7220,100431,31905,71.4,14,47655,4523,,135133,48748,121137,386,,20010,30341,,2897,,,7939,77.8,,,,,7939,7326,11895,31905,8614,26893,7939,120138,115426,54782,203668.6,45294.9,68313.6,8627.6,6.2,235564,49.8,199405.6,43.6,235564
South Wollo ZHD,kallu WorHO,Ham 2012 to Sen 2013,610,4610.8,101538.5,32256.8,72.2,7.6,48180.2,4572.7,,,49285.4,122472.7,359.6,,20231,30675.3,7621.2,2939,,21859.8,8026.1,401.3,11077.3,,,,8026.1,7416.4,12025.8,32256.7,8709.3,22387.2,8026.1,,,55386.5,205915,46524.7,69067,8861.8,6.2,238162.1,49.9,205915,43.6,238162.1
South Wollo ZHD,kallu WorHO,Ham 2013 to Sen 2014,618.8,4687.2,102998.4,32723.7,59.4,7.7,48877.7,4638.9,2034.4,150242,49980.5,127222.5,338.3,131,20523.9,31119.4,5108.2,2971.8,,23437.7,8142.3,338.3,55386.5,,,,8142.3,7523.7,12201.3,32723.7,8835.4,26577.1,8142.3,115978,125632.1,56188.4,0,45273.6,70066.9,10914.8,5,241610.1,40,0,35,241610.1
South Wollo ZHD,kallu WorHO,Ham 2014 to Sen 2015,627.7,4705.2,104480,33191.2,66.9,7.4,49575.9,4705.2,,147708.1,49285.4,132597.4,318.6,,20817.1,31563.9,147708.1,3014.3,16664.2,147708.1,8258.6,825.9,55386.5,,,,8258.6,7630.9,12375.6,33573.4,9064.8,26956.8,8258.6,122935,122126.5,56991,0,45920.3,750.6,11070.7,5,245061.4,40,0,35,2588.2
South Wollo ZHD,Kelela WorHO,Ham 2010 to Sen 2011,424.9,3218.4,70721.5,22462.3,50.3,10,33560.8,3185.2,,95167,34330.5,85310.4,272.1,,14084.6,21367.4,,2040.5,,,5491.2,54.8,,,,,5590.7,5159.4,8377.7,22462.3,6064.8,18938.7,5590.7,84607,81289,38580.5,143433.7,32407.6,48109.8,6172.9,8.7,165896,49.9,142670.6,41.1,165896
South Wollo ZHD,Kelela WorHO,Ham 2011 to Sen 2012,432,5166,71856,22827,51.1,10,34096,3236,,96685,34878,86671,276,,14317,21708,,2073,,,5680,55.7,,,,,5680,5241.6,8510,22827,6163,19241,5680,85956,82585,39195,145720.5,32407.6,48876.9,6172.9,8.7,168541,49.8,142670.6,41.1,168541
South Wollo ZHD,Kelela WorHO,Ham 2012 to Sen 2013,428.6,3239.8,71345.4,22665,50.8,5.4,33853.5,3213,,,34630.1,86054.7,252.7,,14215.2,21553.8,5355,2065,,15359.6,5639.5,282,7783.4,,,,5639.5,5211.1,8449.9,22665,6119.5,15730.3,5639.5,,,38917,144684.9,32690.3,48529.5,6226.7,8.7,167343.2,49.9,144684.9,41.1,167343.2
South Wollo ZHD,Kelela WorHO,Ham 2013 to Sen 2014,433.3,3282.2,72124.5,22914.7,41.6,5.4,34226.6,3248.4,1424.6,99396.4,33572.2,88249.1,236.9,100.1,14371.8,21791.3,3379.5,2081,,15505.8,5701.6,236.9,38917,,,,5701.6,5268.5,8544,22914.7,6187,18610.6,5701.6,82715.3,86471.9,39345.9,0,34783.1,49064.3,4562.7,7,169187.2,40,0,33,169187.2
South Wollo ZHD,Kelela WorHO,Ham 2014 to Sen 2015,438.2,3284.9,72942.5,23172.4,46.7,5.1,34611.3,3284.9,,103122.1,34630.1,92572.6,222.4,,14533.4,22036.3,103122.1,2104.4,11634.1,103122.1,5765.7,576.6,38917,,,,5765.7,5327.5,8640,23439.2,6328.6,18819.8,5765.7,85826.8,85262.3,39788.2,0,35174.2,366.9,4614,7,171089.1,40,0,33,1265.3
Oromia Special ZHD,Kemissie Town WorHO,Ham 2010 to Sen 2011,102.1,773.2,16990.2,5396.4,12.1,2.4,8062.7,765.2,,22863,8247.6,20495,65.4,,3383.7,5133.3,,490.2,,,1319.2,13.2,,,,,1343.1,1239.5,2012.7,5396.4,1457,4549.8,1343.1,20326,19529,9268.6,34458.6,7785.6,11558,1483,7.5,39855,8.7,34275.3,1.2,39855
Oromia Special ZHD,Kemissie Town WorHO,Ham 2011 to Sen 2012,104,1241,17263,5484,12.3,2,8191,777,,23228,8379,20822,66,,3440,5215,,498,,,1365,13.4,,,,,1365,1259.3,2045,5484,1481,4623,1365,20650,19841,9416,35008.5,7785.6,11742.4,1483,7.5,40491,8.7,34275.3,1.2,40491
Oromia Special ZHD,Kemissie Town WorHO,Ham 2012 to Sen 2013,117.3,887,19532.4,6205.1,13.9,1.5,9268.2,879.6,,,9480.8,23559.4,69.2,,3891.7,5900.8,1466,565.4,,4205,1543.9,2.2,10654.4,,,,1543.9,1426.6,2313.3,6205,1675.4,8796.3,1543.9,,,10654.4,39610.8,8949.7,13286.1,1704.7,7.5,45814,8.7,39610.8,1.2,45814
Oromia Special ZHD,Kemissie Town WorHO,Ham 2013 to Sen 2014,123.4,934.6,20536.2,6524.6,11.9,1.5,9745.4,924.9,405.6,32881.4,12745.1,31039.6,67.4,21.9,4092.1,6204.7,1118,592.5,,5129.5,1623.4,67.4,10654.4,,,,1623.4,1500.1,2432.7,6524.6,1761.6,5299,1623.4,24099.3,24073.7,11203,0,0,13970.2,11203,6,48173,7,0,1,48173
Oromia Special ZHD,Kemissie Town WorHO,Ham 2014 to Sen 2015,129,967.1,21474.9,6822.1,13.7,1.5,10189.9,967.1,,30360,9480.8,27254.1,65.5,,4278.7,6487.7,30360,619.6,3425.2,30360,1697.5,169.7,10654.4,,,,1697.5,1568.5,2543.7,6900.7,1863.2,5540.7,1697.5,25268.1,25101.9,11714,0,0,30.8,11714,6,50370.1,7,0,1,106.1
North Shewa ZHD,Kewet WorHO,Ham 2010 to Sen 2011,242,1831.2,40243,12784,30,6,19095,1812,,54148,19533,48539,155,,8018,12157,,1161,,,3181,318,,,,,3181,2939,4766,12784,3452,10776,3181,48139,46251,21951,81609.6,18439,27373.1,3512.2,0,94390,22.4,81175.4,22.4,94390
North Shewa ZHD,Kewet WorHO,Ham 2011 to Sen 2012,246,2939,40884,12988,30,6,19400,1841,,55011,19845,49313,157,,8146,12351,,1180,,,3232,323,,,,,3232,2986,4842,12988,3507,10948,3232,48906,46989,22301,82910.8,18439,27809.5,3512.2,0,95895,22.4,81175.4,22.4,95895
North Shewa ZHD,Kewet WorHO,Ham 2012 to Sen 2013,237.6,1796.2,39554.9,12565.8,28.1,3,18768.9,1781.3,,,19199.4,47710,140.1,,7881.1,11949.7,2968.9,1144.9,,8515.6,3126.6,4.4,21576.1,,,,3126.6,2889.1,4684.7,12565.8,3392.8,17813.3,3126.6,,,21576.1,80215.4,18124,26905.5,3452.2,2.5,92777.4,24.9,80215.4,22.4,92777.4
North Shewa ZHD,Kewet WorHO,Ham 2013 to Sen 2014,239,1810.6,39786,12640.4,23,3,18880.4,1791.9,785.8,54788.3,17205.7,48562.5,130.7,55.3,7927.9,12020.7,1862.8,1147.9,,8547,3145.2,130.7,21576.1,,,,3145.2,2906.3,4713.1,12640.4,3412.9,10266.1,3145.2,43645.2,49683.4,21704.3,0,21704.3,27065.3,0,2,93328.6,20,0,18,93328.6
North Shewa ZHD,Kewet WorHO,Ham 2014 to Sen 2015,240.6,1804,40057.8,12725.6,25.6,2.8,19007.5,1804,,56631.5,19199.4,50838.1,122.1,,7981.3,12101.7,56631.5,1155.7,6389.1,56631.5,3166.4,316.6,21576.1,,,,3166.4,2925.7,4744.8,12872.1,3475.5,10335.3,3166.4,47133.5,46823.5,21850.5,0,21850.5,111.2,0,2,93957,20,0,18,383.3
Central Gondar ZHD,Kinfaze Begela  WorHO,Ham 2010 to Sen 2011,201.8,1528.4,33584.3,10666.9,23.9,4.7,15937.4,1512.6,,,16302.9,40512.3,129.2,,6688.5,10147,,969,,,2607.7,26,,,,,2654.9,2450.1,3978.4,10666.9,2880.1,8993.6,2654.9,,,18321.2,68114.1,15389.8,22846.5,2931.4,1.2,78781,22.4,67751.7,21.2,78781
Central Gondar ZHD,Kinfaze Begela  WorHO,Ham 2011 to Sen 2012,205,0,34123,10840,24.3,5,16191,1537,,45914,16563,41158,131,,6799,10309,,984,,,2697,26.4,,,,,2697,2489.2,4041,10840,2927,9137,2697,40819,39218,18613,69200,15389.8,23210.7,2931.4,1.2,80037,22.4,67751.7,21.2,80037
Central Gondar ZHD,Kinfaze Begela  WorHO,Ham 2012 to Sen 2013,187.6,1417.8,31221.6,9918.5,22.2,2.3,14814.7,1406,,,15154.6,37658.6,110.6,,6220.7,9432.2,2343.4,903.7,,6721.6,2467.9,3.5,17030.6,,,,2467.9,2280.4,3697.8,9918.5,2678,14060.4,2467.9,,,17030.6,63315.9,14305.7,21237.1,2724.9,1.2,73231.5,22.4,63315.9,21.2,73231.5
Central Gondar ZHD,Kinfaze Begela  WorHO,Ham 2013 to Sen 2014,188.7,1429.1,31404,9977.4,18.1,2.4,14902.7,1414.4,620.3,40945.4,14730,36831.4,103.1,46.9,6257.7,9488.2,1392.1,906.1,,6387.5,2482.6,103.1,17030.6,,,,2482.6,2294,3720.2,9977.4,2693.9,8103.3,2482.6,36097.8,37568.7,17131.7,0,17131.7,21363.3,0,1,73666.5,18,0,17,73666.5
Central Gondar ZHD,Kinfaze Begela  WorHO,Ham 2014 to Sen 2015,189.9,1423.9,31618.6,10044.6,20.2,2.2,15003.1,1423.9,,44700.6,15154.6,40127.7,96.4,,6299.8,9552.1,44700.6,912.2,5043.1,44700.6,2499.3,249.9,17030.6,,,,2499.3,2309.3,3745.2,10160.3,2743.3,8157.9,2499.3,37203.6,36958.9,17247.1,0,17247.1,69.3,0,1,74162.5,18,0,17,238.8
North Wollo ZHD,Kobo Town WorHO,Ham 2010 to Sen 2011,111.5,844.6,18559,5894.6,13.2,2.6,8807.1,835.9,,24974,9009.1,22387.4,71.4,,3696.1,5607.3,,535.5,,,1441,14.4,,,,,1467.1,1353.9,2198.5,5894.6,1591.6,4970,1467.1,22203,21332,10124.4,37640.4,8504.5,12625.2,1619.9,5,43535,6.2,37440.1,1.2,43535
North Wollo ZHD,Kobo Town WorHO,Ham 2011 to Sen 2012,129,1356,21468,6820,14,3,10186,967,,28885,10420,25894,83,,4277,6485,,619,,,1697,170,,,,,1697,1568,2543,6820,1841,5748,1697,22557,24673,11710,43535.2,8504.5,14602.4,1619.9,5,50353,6.2,37440.1,1.2,50353
North Wollo ZHD,Kobo Town WorHO,Ham 2012 to Sen 2013,140.3,1060.4,23352.2,7418.6,16.6,1.8,11080.7,1051.7,,,11334.9,28166.8,76.7,,4652.8,7054.8,1752.8,675.9,,5027.4,1845.9,2.6,2547.6,,,,1845.9,1705.6,2765.7,7418.5,2003,5148.7,1845.9,,,12738,47357.2,10699.9,15884.3,2038.1,5,54773.5,6.2,47357.2,1.2,54773.5
North Wollo ZHD,Kobo Town WorHO,Ham 2013 to Sen 2014,147.2,1115,24500.8,7784.2,14.1,1.8,11626.8,1103.5,483.9,36196.2,12865.4,31437.9,80.5,30.5,4882.1,7402.6,1230.7,706.9,,5646.6,1936.8,80.5,12738,,,,1936.8,1789.7,2902.4,7784.2,2101.7,6322.1,1936.8,31160.6,26312.7,13365.9,0,619.8,16667.2,12746.1,4,57473.2,5,0,1,57473.2
North Wollo ZHD,Kobo Town WorHO,Ham 2014 to Sen 2015,153.6,1151.8,25576.6,8125.2,16.4,1.8,12136.1,1151.8,,36158.8,11334.9,32459.7,78,,5096,7726.8,36158.8,737.9,4079.4,36158.8,2021.7,202.2,12738,,,,2021.7,1868,3029.5,8218.7,2219.1,6599,2021.7,30094.4,29896.5,13951.4,0,646.9,43.7,13304.4,4,59990.8,5,0,1,150.7
Kombolcha THO,Kombolcha THO,Ham 2010 to Sen 2011,346.4,2623.8,57655.4,18312.3,41,8.1,27360.3,2596.7,,77585,27987.8,69548.9,221.8,,11482.4,17419.7,,1663.5,,,4476.6,44.7,,,,,4557.8,4206.2,6829.9,18312.3,4944.3,15439.7,4557.8,68975,66271,31452.6,116933.7,26420.1,39221.3,5032.4,7.5,135246,15,116311.6,7.5,135246
Kombolcha THO,Kombolcha THO,Ham 2011 to Sen 2012,352,4211,58580,18610,41.7,8,27796,2638,,78822,28434,70658,225,,11672,17697,,1690,,,4630,45.4,,,,,4630,4273.2,6938,18610,5025,15686,4630,70075,67327,31954,118797.8,26420.1,39846.6,5032.4,7.5,137402,15,116311.6,7.5,137402
Kombolcha THO,Kombolcha THO,Ham 2012 to Sen 2013,416.3,3146.6,69294.6,22013.5,49.3,5.2,32880.4,3120.6,,,33634.7,83581.1,245.4,,13806.6,20934.2,5201.1,2005.7,,14918.1,5477.4,273.9,7559.7,,,,5477.4,5061.3,8207,22013.5,5943.6,15278.1,5477.4,,,37798.3,140525.9,31750.6,47134.5,6047.7,7.5,162532.9,15,140525.9,7.5,162532.9
Kombolcha THO,Kombolcha THO,Ham 2013 to Sen 2014,433.8,3285.7,72200.2,22938.8,41.7,5.4,34262.5,3251.8,1426.1,119655.4,41372.7,107901.5,237.1,71.3,14386.9,21814.2,4068.3,2083.2,,18666.2,5707.6,237.1,37798.3,,,,5707.6,5274,8552.9,22938.8,6193.5,18630.1,5707.6,89137.6,80227.1,39387.1,0,7895.1,49115.8,31492,6,169364.7,12,0,6,169364.7
Kombolcha THO,Kombolcha THO,Ham 2014 to Sen 2015,450.2,3374.8,74937.8,23806.3,48,5.3,35558.1,3374.8,,105943,33634.7,95104.9,228.5,,14930.9,22639.1,105943,2162,11952.3,105943,5923.4,592.3,37798.3,,,,5923.4,5473.2,8876.3,24080.4,6501.7,19334.6,5923.4,88174.6,87594.7,40876.6,0,8193.7,377.4,32682.9,6,175769.2,12,0,6,1301.3
South Wollo ZHD,Kutaber WorHO,Ham 2010 to Sen 2011,282.8,2142.3,47075.9,14952.1,33.5,6.6,22339.8,2120.2,,63348,22852.2,56787,181.1,,9375.4,14223.3,,1358.3,,,3655.2,36.5,,,,,3721.5,3434.3,5576.7,14952.1,4037.1,12606.6,3721.5,56319,54110,25681.2,95476.9,21572.2,32024.4,4109,1.2,110429,28.7,94968.9,27.4,110429
South Wollo ZHD,Kutaber WorHO,Ham 2011 to Sen 2012,287,3439,47831,15195,34,7,22696,2154,,64358,23217,57692,184,,9530,14450,,1380,,,3781,37.1,,,,,3781,3489.1,5665,15195,4103,12808,3781,57216,54973,26091,96998.6,21572.2,32534.8,4109,1.2,112189,28.7,94968.9,27.4,112189
South Wollo ZHD,Kutaber WorHO,Ham 2012 to Sen 2013,284.3,2148.7,47317.2,15031.8,33.7,3.6,22452.1,2130.9,,,22967.2,57072.7,167.6,,9427.7,14294.8,3551.5,1369.6,,10186.7,3740.2,5.2,25810.3,,,,3740.2,3456,5604.1,15031.7,4058.6,21309,3740.2,,,25810.3,95957,21680.6,32185.4,4129.6,1.2,110984.3,28.7,95957,27.4,110984.3
South Wollo ZHD,Kutaber WorHO,Ham 2013 to Sen 2014,287.2,2175.3,47800.5,15186.7,27.6,3.6,22683.7,2152.9,944.1,69800.8,21392.5,58986.2,157,60.7,9524.9,14442.2,2373.2,1379.2,,10888.9,3778.7,157,25810.3,,,,3778.7,3491.7,5662.5,15186.7,4100.4,12334.2,3778.7,54517,57611.9,26076.5,0,23471.2,32517.4,2605.3,1,112128.9,23,0,22,112128.9
South Wollo ZHD,Kutaber WorHO,Ham 2014 to Sen 2015,290.2,2175.7,48312.8,15348,30.9,3.4,22924.5,2175.7,,68302,22967.2,61314.6,147.3,,9626.1,14595.5,68302,1393.8,7705.7,68302,3818.9,381.9,25810.3,,,,3818.9,3528.6,5722.6,15524.8,4191.7,12465.1,3818.9,56846.6,56472.7,26353.3,0,23720.4,161.1,2632.9,1,113319.3,23,0,22,555.4
North Wollo ZHD,Lalibela Town WorHO,Ham 2010 to Sen 2011,86.5,655,14393.2,4571.5,10.2,2,6830.3,648.2,,19369,6986.9,17362.3,55.4,,2866.5,4348.7,,415.3,,,1117.6,11.2,,,,,1137.8,1050,1705,4571.5,1234.3,3854.4,1137.8,17219,16544,7851.9,29191.5,6595.6,9791.3,1256.3,5,33763,6.2,29036.2,1.2,33763
North Wollo ZHD,Lalibela Town WorHO,Ham 2011 to Sen 2012,98,1051,16288,5174,11,2,7729,734,,21916,7906,19646,63,,3245,4921,,470,,,1287,129,,,,,1287,1190,1929,5174,1397,4361,1287,17494,18720,8885,33031.2,6595.6,11079.2,1256.3,5,38204,6.2,29036.2,1.2,38204
